""	"rRaw_arrays_scanner_file1.txt"
"3xSLv1"	141.4150327
"(+)E1A_r60_1"	157.203125
"(+)E1A_r60_3"	172.84375
"(+)E1A_r60_a104"	152.453125
"(+)E1A_r60_a107"	165.140625
"(+)E1A_r60_a135"	155.484375
"(+)E1A_r60_a20"	197.21875
"(+)E1A_r60_a22"	282.9375
"(+)E1A_r60_a97"	139.390625
"(+)E1A_r60_n11"	172
"(+)E1A_r60_n9"	143.75
"(+)eQC-39"	158.2
"(+)eQC-40"	147.3
"(+)eQC-41"	165.4
"(+)eQC-42"	165.25
"A_23_P100001"	1026
"A_23_P100011"	885
"A_23_P100022"	291
"A_23_P100056"	533
"A_23_P100074"	5038
"A_23_P100092"	1750
"A_23_P100103"	3320.5
"A_23_P100111"	994
"A_23_P100127"	418
"A_23_P100133"	1148
"A_23_P100141"	1599.5
"A_23_P100156"	10831
"A_23_P100177"	199
"A_23_P100189"	232
"A_23_P100196"	5813
"A_23_P100203"	4554
"A_23_P100220"	1355
"A_23_P100240"	177
"A_23_P10025"	226
"A_23_P100263"	72679.9
"A_23_P100278"	243
"A_23_P100292"	23486.5
"A_23_P100315"	11115
"A_23_P100326"	15391
"A_23_P100341"	28618.7
"A_23_P100344"	1470
"A_23_P100355"	32649.7
"A_23_P100386"	235.5
"A_23_P100392"	2911
"A_23_P100408"	283.5
"A_23_P100413"	1070
"A_23_P100420"	6228.5
"A_23_P100441"	6746
"A_23_P100455"	1356
"A_23_P100469"	2036.5
"A_23_P100478"	3943
"A_23_P100486"	132344
"A_23_P100499"	1258
"A_23_P100501"	70688.9
"A_23_P100517"	5415
"A_23_P100522"	26023.1
"A_23_P100539"	1333
"A_23_P100556"	11250
"A_23_P100576"	45721.1
"A_23_P100583"	244
"A_23_P100595"	251
"A_23_P10060"	192.5
"A_23_P100602"	4288
"A_23_P10062"	118
"A_23_P100632"	155567
"A_23_P100642"	360
"A_23_P100654"	12462
"A_23_P100660"	3875
"A_23_P100676"	2357
"A_23_P100693"	3157.5
"A_23_P100704"	8289.5
"A_23_P100711"	9958
"A_23_P100730"	2201
"A_23_P100754"	764.5
"A_23_P100764"	20586.1
"A_23_P10077"	1266
"A_23_P100779"	1705
"A_23_P100788"	2543
"A_23_P100795"	1625
"A_23_P100802"	41065.7
"A_23_P10081"	318
"A_23_P100868"	5587
"A_23_P100872"	228
"A_23_P100883"	14359
"A_23_P10091"	225
"A_23_P100912"	1264
"A_23_P100931"	131
"A_23_P100935"	146
"A_23_P100959"	282
"A_23_P100963"	653
"A_23_P100990"	443
"A_23_P100991"	121
"A_23_P101007"	852
"A_23_P101013"	24735.1
"A_23_P101025"	15347
"A_23_P101038"	141
"A_23_P101048"	215
"A_23_P101054"	231
"A_23_P101073"	344
"A_23_P101084"	258
"A_23_P101093"	4378
"A_23_P101111"	9688
"A_23_P101121"	1031
"A_23_P101131"	209
"A_23_P101141"	750
"A_23_P101185"	32875.9
"A_23_P101193"	740.5
"A_23_P101208"	38657
"A_23_P10121"	1205
"A_23_P101237"	13009
"A_23_P101240"	72065.4
"A_23_P101246"	2790.5
"A_23_P101253"	1071
"A_23_P101258"	787
"A_23_P10127"	2893
"A_23_P101272"	6017
"A_23_P101281"	2425
"A_23_P101297"	2397
"A_23_P101303"	15739
"A_23_P101308"	2601.5
"A_23_P101319"	460
"A_23_P101321"	898
"A_23_P101332"	6079
"A_23_P101342"	1522
"A_23_P10135"	4580.5
"A_23_P101351"	2987
"A_23_P101374"	2682
"A_23_P101380"	54048.6
"A_23_P101392"	483.5
"A_23_P1014"	5141.5
"A_23_P101407"	42801.1
"A_23_P101427"	734
"A_23_P101434"	237
"A_23_P101461"	79925.9
"A_23_P101476"	443
"A_23_P101480"	805
"A_23_P101505"	409
"A_23_P101516"	1643
"A_23_P101521"	178
"A_23_P101532"	574480
"A_23_P101551"	14215
"A_23_P10156"	3321
"A_23_P101564"	214
"A_23_P101573"	160.5
"A_23_P101615"	2131
"A_23_P101623"	432
"A_23_P101636"	153
"A_23_P101642"	840
"A_23_P101655"	7308
"A_23_P101671"	338
"A_23_P101683"	193.5
"A_23_P101699"	5178
"A_23_P101707"	41872
"A_23_P10172"	156
"A_23_P101737"	1952
"A_23_P101742"	9967
"A_23_P101759"	576.5
"A_23_P101761"	30958.7
"A_23_P101774"	296
"A_23_P101783"	609
"A_23_P101796"	991
"A_23_P101806"	906
"A_23_P101811"	796
"A_23_P10182"	10201
"A_23_P101829"	4446
"A_23_P101871"	362
"A_23_P101893"	2274
"A_23_P101905"	310
"A_23_P101908"	686
"A_23_P10194"	72193.2
"A_23_P101943"	15575.5
"A_23_P101950"	283223
"A_23_P101960"	50602.6
"A_23_P101972"	688
"A_23_P101992"	12516
"A_23_P102000"	176717
"A_23_P102017"	238
"A_23_P102037"	2446
"A_23_P102058"	136
"A_23_P10206"	178
"A_23_P102060"	8455
"A_23_P102071"	2597
"A_23_P102083"	144
"A_23_P102109"	63988.6
"A_23_P10211"	785
"A_23_P102113"	490
"A_23_P102117"	260
"A_23_P102122"	330494
"A_23_P102160"	4127
"A_23_P102172"	189
"A_23_P102183"	5255
"A_23_P102192"	1875
"A_23_P102202"	14093
"A_23_P102235"	12189
"A_23_P102242"	5236
"A_23_P102258"	45932.5
"A_23_P102262"	27522.5
"A_23_P102278"	151
"A_23_P102286"	148
"A_23_P10232"	175
"A_23_P102320"	2469
"A_23_P102331"	116.5
"A_23_P102351"	325
"A_23_P102364"	1345.5
"A_23_P102391"	867
"A_23_P102404"	76971.4
"A_23_P102412"	3800
"A_23_P102420"	251564
"A_23_P102439"	553
"A_23_P102454"	14393.5
"A_23_P102462"	375
"A_23_P102471"	4475.35
"A_23_P102481"	154
"A_23_P102494"	1340
"A_23_P102508"	3056
"A_23_P102517"	11571
"A_23_P102523"	1779
