""	"gRaw_arrays_scanner_file1.txt"
"3xSLv1"	84.3496732
"(+)E1A_r60_1"	84.765625
"(+)E1A_r60_3"	86.65625
"(+)E1A_r60_a104"	85.421875
"(+)E1A_r60_a107"	84.734375
"(+)E1A_r60_a135"	84.984375
"(+)E1A_r60_a20"	90.53125
"(+)E1A_r60_a22"	99.984375
"(+)E1A_r60_a97"	83.65625
"(+)E1A_r60_n11"	87.15625
"(+)E1A_r60_n9"	85.90625
"(+)eQC-39"	83.25
"(+)eQC-40"	80.2
"(+)eQC-41"	83.15
"(+)eQC-42"	84.55
"A_23_P100001"	1244
"A_23_P100011"	145
"A_23_P100022"	134
"A_23_P100056"	288.5
"A_23_P100074"	1641
"A_23_P100092"	372
"A_23_P100103"	173
"A_23_P100111"	128
"A_23_P100127"	489
"A_23_P100133"	184
"A_23_P100141"	562
"A_23_P100156"	253
"A_23_P100177"	116
"A_23_P100189"	99
"A_23_P100196"	1209
"A_23_P100203"	2508
"A_23_P100220"	1887.5
"A_23_P100240"	140
"A_23_P10025"	191
"A_23_P100263"	1572.5
"A_23_P100278"	110
"A_23_P100292"	9570
"A_23_P100315"	3100
"A_23_P100326"	4399.5
"A_23_P100341"	10593.5
"A_23_P100344"	1922
"A_23_P100355"	2719
"A_23_P100386"	92.5
"A_23_P100392"	804.5
"A_23_P100408"	80.5
"A_23_P100413"	239
"A_23_P100420"	3512.5
"A_23_P100441"	1324
"A_23_P100455"	328
"A_23_P100469"	427
"A_23_P100478"	785.5
"A_23_P100486"	11739
"A_23_P100499"	152
"A_23_P100501"	3271
"A_23_P100517"	586
"A_23_P100522"	4774
"A_23_P100539"	387
"A_23_P100556"	649
"A_23_P100576"	5485
"A_23_P100583"	103
"A_23_P100595"	94.5
"A_23_P10060"	79
"A_23_P100602"	687
"A_23_P10062"	91
"A_23_P100632"	19335
"A_23_P100642"	366
"A_23_P100654"	1244
"A_23_P100660"	3949
"A_23_P100676"	375
"A_23_P100693"	670.5
"A_23_P100704"	592.5
"A_23_P100711"	3972.5
"A_23_P100730"	436
"A_23_P100754"	231.5
"A_23_P100764"	2644
"A_23_P10077"	270.5
"A_23_P100779"	367.5
"A_23_P100788"	211
"A_23_P100795"	408
"A_23_P100802"	7216
"A_23_P10081"	178
"A_23_P100868"	2487
"A_23_P100872"	97
"A_23_P100883"	2943
"A_23_P10091"	163.5
"A_23_P100912"	190
"A_23_P100931"	80
"A_23_P100935"	82
"A_23_P100959"	99
"A_23_P100963"	223
"A_23_P100990"	101
"A_23_P100991"	81
"A_23_P101007"	387
"A_23_P101013"	1405
"A_23_P101025"	364
"A_23_P101038"	83
"A_23_P101048"	98.5
"A_23_P101054"	180
"A_23_P101073"	106
"A_23_P101084"	98
"A_23_P101093"	827
"A_23_P101111"	857
"A_23_P101121"	511
"A_23_P101131"	93
"A_23_P101141"	196
"A_23_P101185"	4124
"A_23_P101193"	563
"A_23_P101208"	3651
"A_23_P10121"	3057
"A_23_P101237"	1711
"A_23_P101240"	15390.5
"A_23_P101246"	379
"A_23_P101253"	381.5
"A_23_P101258"	220
