""	"rRaw_arrays_scanner_file2.txt"
"3xSLv1"	139.8137255
"(+)E1A_r60_1"	153.78125
"(+)E1A_r60_3"	179.53125
"(+)E1A_r60_a104"	150.953125
"(+)E1A_r60_a107"	146.375
"(+)E1A_r60_a135"	149.984375
"(+)E1A_r60_a20"	198.46875
"(+)E1A_r60_a22"	302.6875
"(+)E1A_r60_a97"	140.703125
"(+)E1A_r60_n11"	161.609375
"(+)E1A_r60_n9"	144.96875
"(+)eQC-39"	153.7
"(+)eQC-40"	155.2
"(+)eQC-41"	169.2
"(+)eQC-42"	161.25
"A_23_P100001"	1391
"A_23_P100011"	1794
"A_23_P100022"	456
"A_23_P100056"	612
"A_23_P100074"	9026.5
"A_23_P100092"	2744
"A_23_P100103"	4385
"A_23_P100111"	1306
"A_23_P100127"	485
"A_23_P100133"	1011.5
"A_23_P100141"	1402
"A_23_P100156"	11903
"A_23_P100177"	225.5
"A_23_P100189"	258
"A_23_P100196"	8358
"A_23_P100203"	7320
"A_23_P100220"	1299.5
"A_23_P100240"	276
"A_23_P10025"	447
"A_23_P100263"	22883.7
"A_23_P100278"	309
"A_23_P100292"	28151.9
"A_23_P100315"	9749.5
"A_23_P100326"	18650.5
"A_23_P100341"	24028
"A_23_P100344"	1769
"A_23_P100355"	38757.4
"A_23_P100386"	251
"A_23_P100392"	5730
"A_23_P100408"	535
"A_23_P100413"	1245
"A_23_P100420"	7035
"A_23_P100441"	8944.5
"A_23_P100455"	1830
"A_23_P100469"	3970
"A_23_P100478"	4214
"A_23_P100486"	146722
"A_23_P100499"	810
"A_23_P100501"	86398.2
"A_23_P100517"	5971
"A_23_P100522"	22804.9
"A_23_P100539"	1420
"A_23_P100556"	9328.5
"A_23_P100576"	57107.7
"A_23_P100583"	277
"A_23_P100595"	306
"A_23_P10060"	201.5
"A_23_P100602"	4299
"A_23_P10062"	116.5
"A_23_P100632"	146900
"A_23_P100642"	291
"A_23_P100654"	11738
"A_23_P100660"	4501
"A_23_P100676"	2323
"A_23_P100693"	3962
"A_23_P100704"	7177.5
"A_23_P100711"	7812.5
"A_23_P100730"	1117
"A_23_P100754"	1594
"A_23_P100764"	23602.5
"A_23_P10077"	1922
"A_23_P100779"	1521.5
"A_23_P100788"	2775
"A_23_P100795"	2060
"A_23_P100802"	44365.4
"A_23_P10081"	419
"A_23_P100868"	5934
"A_23_P100872"	288
"A_23_P100883"	16616.5
"A_23_P10091"	160
"A_23_P100912"	1421
"A_23_P100931"	123
"A_23_P100935"	164.5
"A_23_P100959"	267
"A_23_P100963"	672
"A_23_P100990"	502
"A_23_P100991"	119
"A_23_P101007"	847
"A_23_P101013"	20815.8
"A_23_P101025"	14066.5
"A_23_P101038"	154.5
"A_23_P101048"	170
"A_23_P101054"	234
"A_23_P101073"	443
"A_23_P101084"	295
"A_23_P101093"	5436
"A_23_P101111"	10624
"A_23_P101121"	1849
"A_23_P101131"	212
"A_23_P101141"	882
"A_23_P101185"	42085.7
"A_23_P101193"	282
"A_23_P101208"	36743.6
"A_23_P10121"	1322
"A_23_P101237"	14152
"A_23_P101240"	41219.2
"A_23_P101246"	3518.5
"A_23_P101253"	1288
"A_23_P101258"	999
"A_23_P10127"	2694
"A_23_P101272"	6241
"A_23_P101281"	1854
"A_23_P101297"	2476.5
"A_23_P101303"	13725.5
"A_23_P101308"	2400
"A_23_P101319"	423
"A_23_P101321"	1016.5
"A_23_P101332"	8789
"A_23_P101342"	1536
"A_23_P10135"	6961.5
"A_23_P101351"	3329
"A_23_P101374"	2648
"A_23_P101380"	40500.3
"A_23_P101392"	620
"A_23_P1014"	5934
"A_23_P101407"	37984.4
"A_23_P101427"	888
"A_23_P101434"	234
"A_23_P101461"	68555.1
"A_23_P101476"	655
"A_23_P101480"	745
"A_23_P101505"	324
"A_23_P101516"	1815.5
"A_23_P101521"	173.5
"A_23_P101532"	506057
"A_23_P101551"	14817.5
"A_23_P10156"	3589.5
"A_23_P101564"	252
"A_23_P101573"	198.5
"A_23_P101615"	2114
"A_23_P101623"	345
"A_23_P101636"	174
"A_23_P101642"	857
"A_23_P101655"	9199.5
"A_23_P101671"	450
"A_23_P101683"	232
"A_23_P101699"	4836
"A_23_P101707"	46064
"A_23_P10172"	144
"A_23_P101737"	2250.5
"A_23_P101742"	14727
"A_23_P101759"	726
"A_23_P101761"	9747
"A_23_P101774"	361
"A_23_P101783"	761
"A_23_P101796"	966.5
"A_23_P101806"	875
"A_23_P101811"	871
"A_23_P10182"	4393
"A_23_P101829"	3562
"A_23_P101871"	389
"A_23_P101893"	2584
"A_23_P101905"	250
"A_23_P101908"	853.5
"A_23_P10194"	93232.2
"A_23_P101943"	11219
"A_23_P101950"	227937
"A_23_P101960"	66378.8
"A_23_P101972"	913.5
"A_23_P101992"	3994
"A_23_P102000"	138131.6
"A_23_P102017"	249
"A_23_P102037"	3329
"A_23_P102058"	147
"A_23_P10206"	143.5
"A_23_P102060"	8176
"A_23_P102071"	3028.5
"A_23_P102083"	130
"A_23_P102109"	82794.1
"A_23_P10211"	974
"A_23_P102113"	522
"A_23_P102117"	249
"A_23_P102122"	336951
"A_23_P102160"	5628
"A_23_P102172"	199
"A_23_P102183"	9158
"A_23_P102192"	4173
"A_23_P102202"	16373
"A_23_P102235"	15043
"A_23_P102242"	5730.5
"A_23_P102258"	40884.4
"A_23_P102262"	28019
"A_23_P102278"	149
