TYPE	text	text	text	integer	text	float	float	text	integer	text	text	integer	integer	integer	integer	float	float	float	float	float	float	text	text	text	text	text	text	text	text	text	text	text	integer	integer	integer																																																																																																																																																																									
FEPARAMS	Protocol_Name	Protocol_date	Scan_ScannerName	Scan_NumChannels	Scan_Date	Scan_MicronsPerPixelX	Scan_MicronsPerPixelY	Scan_OriginalGUID	Scan_NumScanPass	Grid_Name	Grid_Date	Grid_NumSubGridRows	Grid_NumSubGridCols	Grid_NumRows	Grid_NumCols	Grid_RowSpacing	Grid_ColSpacing	Grid_OffsetX	Grid_OffsetY	Grid_NomSpotWidth	Grid_NomSpotHeight	Grid_GenomicBuild	FeatureExtractor_Barcode	FeatureExtractor_Sample	FeatureExtractor_ScanFileName	FeatureExtractor_ArrayName	FeatureExtractor_ScanFileGUID	FeatureExtractor_DesignFileName	FeatureExtractor_ExtractionTime	FeatureExtractor_UserName	FeatureExtractor_ComputerName	FeatureExtractor_Version	FeatureExtractor_IsXDRExtraction	FeatureExtractor_ColorMode	FeatureExtractor_QCReportType																																																																																																																																																																									
DATA	GE2_107_Sep09 (Read Only)	29/09/2009 17:04	Agilent Technologies Scanner G2505C US10020348	2	04-20-2011 11:40:45	5	5	a6b42c92-f233-40bc-992b-d73ccd42288c	1	014850_D_F_20100430	30/04/2010 00:00	1	1	532	85	73.3235	63.5	0	36.6617	65	65	hg19:GRCh37:Feb2009	251485065459_1_1		D:\Theres\New Folder (2)\\US10020348_251485065459_S01.tif	US10020348_251485065459_S01	97573846-87b5-44f9-a86a-c2d71ffb6354	014850_D_F_20100430.xml	20/04/2011 11:57	rmharev	CHEMSTATION01	10.7.1.1	0	1	0																																																																																																																																																																									
*																																																																																																																																																																																																												
TYPE	float	float	float	integer	integer	float	float	float	integer	integer	float	float	float	float	float	float	integer	float	float	float	integer	float	float	integer	integer	float	float	float	integer	float	float	integer	integer	integer	integer	integer	float	float	float	integer	integer	integer	integer	integer	float	float	float	integer	float	float	float	float	float	float	float	integer	integer	float	float	integer	integer	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	float	integer	float	float	float	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	float	float	integer	float	float	float	integer	float	float	float	float	float	float	float	float	integer	integer	integer	float	float	float	integer	float	float	float	float	integer	float	float	float	float	float	float	text	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	integer	integer	integer	integer	float	float	integer	text	integer	integer	float	float	float	float	boolean	float	float	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean	float	boolean
STATS	gDarkOffsetAverage	gDarkOffsetMedian	gDarkOffsetStdDev	gDarkOffsetNumPts	gSaturationValue	rDarkOffsetAverage	rDarkOffsetMedian	rDarkOffsetStdDev	rDarkOffsetNumPts	rSaturationValue	gAvgSig2BkgeQC	rAvgSig2BkgeQC	gAvgSig2BkgNegCtrl	rAvgSig2BkgNegCtrl	gRatioSig2BkgeQC_NegCtrl	rRatioSig2BkgeQC_NegCtrl	gNumSatFeat	gLocalBGInlierNetAve	gLocalBGInlierAve	gLocalBGInlierSDev	gLocalBGInlierNum	gGlobalBGInlierAve	gGlobalBGInlierSDev	gGlobalBGInlierNum	rNumSatFeat	rLocalBGInlierNetAve	rLocalBGInlierAve	rLocalBGInlierSDev	rLocalBGInlierNum	rGlobalBGInlierAve	rGlobalBGInlierSDev	rGlobalBGInlierNum	gNumFeatureNonUnifOL	gNumPopnOL	gNumNonUnifBGOL	gNumPopnBGOL	gOffsetUsed	gGlobalFeatInlierAve	gGlobalFeatInlierSDev	gGlobalFeatInlierNum	rNumFeatureNonUnifOL	rNumPopnOL	rNumNonUnifBGOL	rNumPopnBGOL	rOffsetUsed	rGlobalFeatInlierAve	rGlobalFeatInlierSDev	rGlobalFeatInlierNum	AllColorPrcntSat	AnyColorPrcntSat	AnyColorPrcntFeatNonUnifOL	AnyColorPrcntBGNonUnifOL	AnyColorPrcntFeatPopnOL	AnyColorPrcntBGPopnOL	TotalPrcntFeatOL	gNumNegBGSubFeat	gNonCtrlNumNegFeatBGSubSig	gLinearDyeNormFactor	gRMSLowessDNF	rNumNegBGSubFeat	rNonCtrlNumNegFeatBGSubSig	rLinearDyeNormFactor	rRMSLowessDNF	DyeNormDimensionlessRMS	DyeNormUnitWeightedRMS	gSpatialDetrendRMSFit	gSpatialDetrendRMSFilteredMinusFit	gSpatialDetrendSurfaceArea	gSpatialDetrendVolume	gSpatialDetrendAveFit	rSpatialDetrendRMSFit	rSpatialDetrendRMSFilteredMinusFit	rSpatialDetrendSurfaceArea	rSpatialDetrendVolume	rSpatialDetrendAveFit	gNonCtrlNumSatFeat	gNonCtrl99PrcntNetSig	gNonCtrl50PrcntNetSig	gNonCtrl1PrcntNetSig	gNonCtrlMedPrcntCVBGSubSig	rNonCtrlNumSatFeat	rNonCtrl99PrcntNetSig	rNonCtrl50PrcntNetSig	rNonCtrl1PrcntNetSig	rNonCtrlMedPrcntCVBGSubSig	gCtrleQCNumSatFeat	gCtrleQC99PrcntNetSig	gCtrleQC50PrcntNetSig	gCtrleQC1PrcntNetSig	geQCMedPrcntCVBGSubSig	geQCSig2BkgLow1	geQCSig2BkgLow2	rCtrleQCNumSatFeat	rCtrleQC99PrcntNetSig	rCtrleQC50PrcntNetSig	rCtrleQC1PrcntNetSig	reQCMedPrcntCVBGSubSig	reQCSig2BkgLow1	reQCSig2BkgLow2	gNegCtrlNumInliers	gNegCtrlAveNetSig	gNegCtrlSDevNetSig	gNegCtrlAveBGSubSig	gNegCtrlSDevBGSubSig	rNegCtrlNumInliers	rNegCtrlAveNetSig	rNegCtrlSDevNetSig	rNegCtrlAveBGSubSig	rNegCtrlSDevBGSubSig	gAveNumPixOLLo	gAveNumPixOLHi	gPixCVofHighSignalFeat	gNumHighSignalFeat	rAveNumPixOLLo	rAveNumPixOLHi	rPixCVofHighSignalFeat	rNumHighSignalFeat	NonCtrlAbsAveLogRatio	NonCtrlSDevLogRatio	NonCtrlSNRLogRatio	eQCAbsAveLogRatio	eQCSDevLogRatio	eQCSNRLogRatio	AddErrorEstimateGreen	AddErrorEstimateRed	TotalNumFeatures	NonCtrlNumUpReg	NonCtrlNumDownReg	eQCObsVsExpLRSlope	eQCObsVsExpLRIntercept	eQCObsVsExpCorr	NumIsNorm	ROIHeight	ROIWidth	CentroidDiffX	CentroidDiffY	NumFoundFeat	MaxNonUnifEdges	MaxSpotNotFoundEdges	gMultDetrendRMSFit	rMultDetrendRMSFit	gMultDetrendSurfaceAverage	rMultDetrendSurfaceAverage	eQCLowSigName1	eQCLowSigName2	gNonCtrl50PrcntBGSubSig	rNonCtrl50PrcntBGSubSig	gCtrleQC50PrcntBGSubSig	rCtrleQC50PrcntBGSubSig	gMedPrcntCVProcSignal	rMedPrcntCVProcSignal	geQCMedPrcntCVProcSignal	reQCMedPrcntCVProcSignal	gOutlierFlagger_Auto_FeatB_Term	rOutlierFlagger_Auto_FeatB_Term	gOutlierFlagger_Auto_FeatC_Term	rOutlierFlagger_Auto_FeatC_Term	gOutlierFlagger_Auto_BgndB_Term	rOutlierFlagger_Auto_BgndB_Term	gOutlierFlagger_Auto_BgndC_Term	rOutlierFlagger_Auto_BgndC_Term	OutlierFlagger_FeatChiSq	OutlierFlagger_BgndChiSq	GriddingStatus	IsGoodGrid	NumGeneNonUnifOL	TotalNumberOfReplicatedGenes	gPercentileIntensityProcessedSignal	rPercentileIntensityProcessedSignal	ExtractionStatus	QCMetricResults	gNonCtrlNumWellAboveBG	rNonCtrlNumWellAboveBG	UpRandomnessRatio	DownRandomnessRatio	UpRandomnessSDRatio	DownRandomnessSDRatio	GridHasBeenOptimized	gNegCtrlSpread	rNegCtrlSpread	Metric_IsGoodGrid	Metric_IsGoodGrid_IsInRange	Metric_AnyColorPrcntFeatNonUnifOL	Metric_AnyColorPrcntFeatNonUnifOL_IsInRange	Metric_gNegCtrlAveBGSubSig	Metric_gNegCtrlAveBGSubSig_IsInRange	Metric_gNegCtrlSDevBGSubSig	Metric_gNegCtrlSDevBGSubSig_IsInRange	Metric_rNegCtrlAveBGSubSig	Metric_rNegCtrlAveBGSubSig_IsInRange	Metric_rNegCtrlSDevBGSubSig	Metric_rNegCtrlSDevBGSubSig_IsInRange	Metric_gNonCntrlMedCVBkSubSignal	Metric_gNonCntrlMedCVBkSubSignal_IsInRange	Metric_rNonCntrlMedCVBkSubSignal	Metric_rNonCntrlMedCVBkSubSignal_IsInRange	Metric_gE1aMedCVBkSubSignal	Metric_gE1aMedCVBkSubSignal_IsInRange	Metric_rE1aMedCVBkSubSignal	Metric_rE1aMedCVBkSubSignal_IsInRange	Metric_absE1aObsVsExpCorr	Metric_absE1aObsVsExpCorr_IsInRange	Metric_absE1aObsVsExpSlope	Metric_absE1aObsVsExpSlope_IsInRange
DATA	19.3755	19.3755	1.31928	0	779634	18.8365	18.8365	1.17732	0	778945	53.3475	110.174	0.983757	1.05064	54.2283	104.864	0	23.8366	43.2121	3.38226	44735	43.2121	3.38226	44735	0	36.6913	55.5278	2.89896	44030	55.5278	2.89896	44030	1	75	0	280	19.3755	1990.34	9011.74	44939	1	95	11	985	18.8365	4409.09	22923.2	44919	0	0	0.00222148	0.0244363	0.311007	2.79018	0.00230542	7457	6418	2.19815	11.122	6477	5452	1.11585	11.577	0.223227	0.141269	1.11264	2.91219	1.00329	4.66287	44.7174	1.05155	3.46432	1.00028	4.30797	59.756	0	41595.8	68.6401	20.3294	14.4568	0	96351.6	125.26	35.2947	14.1218	0	6667.01	538.092	44.7078	13.4992	4.11971	2.00922	0	18040.3	2006.51	120.382	13.4782	3.44473	7.86589	148	22.9078	2.41272	-2.41231	2.03527	144	37.523	2.45108	-3.4063	2.37666	0.17523	1.2004	0.120431	3381	0.0975675	1.32589	0.13399	4327	0.313019	0.0457983	20.762	0.508558	0.0163738	47.6326	6.40145	3.86567	45015	5388	5118	0.912918	0.282129	0.991272	8007	4.37969	7.61844	0.729372	0.707723	37712	0	0.288235	0.122137	0.117988	1.00986	1.00889	(+)E1A_r60_n11	(+)E1A_r60_a97	43.1344	84.4204	511.86	1966.18	4.71137	4.99655	3.77391	3.67233	813.77	1096.39	51.8025	123.676	123.48	160.091	44.5542	103.612	1.96387	2.48931	0	1	1	41000	1054.87	1062.55	0	ExtractionInRange	26609	28896	1.14533	0.880316	0.257577	0.23185	0	8.92702	10.8003	1	1	0.002221	1	-2.41231	1	2.03527	1	-3.4063	1	2.37666	1	14.4568	1	14.1218	1	13.4992	1	13.4782	1	0.991272	1	0.912918	1
*																																																																																																																																																																																																												
TYPE	integer	integer	integer	integer	integer	text	text	float	float	float	float	float	float	float	float	float	float	float	float	float	float	float	boolean	boolean	boolean	boolean	boolean	boolean	boolean	boolean	boolean	boolean	boolean	float	float	boolean	boolean	boolean	boolean	float	float	float																																																																																																																																																																		
FEATURES	FeatureNum	Row	Col	SubTypeMask	ControlType	ProbeName	SystematicName	PositionX	PositionY	LogRatio	LogRatioError	PValueLogRatio	gProcessedSignal	rProcessedSignal	gProcessedSigError	rProcessedSigError	gMedianSignal	rMedianSignal	gBGMedianSignal	rBGMedianSignal	gBGPixSDev	rBGPixSDev	gIsSaturated	rIsSaturated	gIsFeatNonUnifOL	rIsFeatNonUnifOL	gIsBGNonUnifOL	rIsBGNonUnifOL	gIsFeatPopnOL	rIsFeatPopnOL	gIsBGPopnOL	rIsBGPopnOL	IsManualFlag	gBGSubSignal	rBGSubSignal	gIsPosAndSignif	rIsPosAndSignif	gIsWellAboveBG	rIsWellAboveBG	SpotExtentX	gBGMeanSignal	rBGMeanSignal																																																																																																																																																																		
DATA	1	1	1	260	1	GE_BrightCorner	GE_BrightCorner	293.649	198.613	3.08E-02	6.15E-02	6.17E-01	6.85E+04	7.35E+04	6.85E+03	7.35E+03	26391.5	74082.5	37	53	6.11E+00	1.17E+01	0	0	0	0	0	0	0	0	0	0	0	26601.7	76297.6	1	1	1	1	57.8122	37.3606	53.5862																																																																																																																																																																		
DATA	2	1	2	66	1	DarkCorner	DarkCorner	319	198.545	0.00E+00	6.26E-01	1.00E+00	6.01E+00	4.28E+00	5.99E+00	4.26E+00	42	53	38	52	6.31E+00	1.14E+01	0	0	0	0	0	0	0	0	0	0	0	-2.23471	-4.24296	0	0	0	0	55.8519	38.5324	53.1965																																																																																																																																																																		
DATA	3	1	3	66	1	DarkCorner	DarkCorner	344.5	198.648	0.00E+00	6.27E-01	1.00E+00	6.07E+00	4.31E+00	6.05E+00	4.29E+00	42	54.5	39	51	6.83E+00	1.17E+01	0	0	0	0	0	0	0	0	0	0	0	-2.65647	-3.95569	0	0	0	0	65	39.3996	52.3197																																																																																																																																																																		
DATA	4	1	4	66	1	DarkCorner	DarkCorner	369.608	198.931	0.00E+00	6.27E-01	1.00E+00	6.12E+00	4.34E+00	6.10E+00	4.32E+00	40	50.5	40	52.5	7.40E+00	1.22E+01	0	0	0	0	0	0	0	0	0	0	0	-4.99624	-6.30356	0	0	0	0	65	40.6313	52.8475																																																																																																																																																																		
DATA	5	1	5	66	1	DarkCorner	DarkCorner	395.5	199	0.00E+00	6.27E-01	1.00E+00	6.18E+00	4.37E+00	6.16E+00	4.35E+00	41	55	41	52	6.96E+00	1.15E+01	0	0	0	0	0	0	0	0	0	0	0	-5.05013	-5.50294	0	0	0	0	65	40.9961	53.251																																																																																																																																																																		
