	"data[, -2]"
(-)3xSLv1	6.775382163
(+)E1A_r60_1	6.853879985
(+)E1A_r60_3	6.957072381
(+)E1A_r60_a104	6.842878342
(+)E1A_r60_a107	6.849231812
(+)E1A_r60_a135	6.842536544
(+)E1A_r60_a20	7.080049892
(+)E1A_r60_a22	7.429749619
(+)E1A_r60_a97	6.76817265
(+)E1A_r60_n11	6.923812599
(+)E1A_r60_n9	6.81432131
(+)eQC-39	6.841280419
(+)eQC-40	6.805361987
(+)eQC-41	6.89281721
(+)eQC-42	6.883461803
A_23_P100001	10.3259663
A_23_P100011	8.770546915
A_23_P100022	7.830564822
A_23_P100056	8.690400668
A_23_P100074	11.75135115
A_23_P100092	9.878109978
A_23_P100103	9.696190747
A_23_P100111	8.621987578
A_23_P100127	8.892128818
A_23_P100133	8.815801631
A_23_P100141	9.845846768
A_23_P100156	10.73958325
A_23_P100177	7.398090002
A_23_P100189	7.352863552
A_23_P100196	11.50180686
A_23_P100203	11.85592448
A_23_P100220	10.65548877
A_23_P100240	7.481145386
A_23_P10025	7.964987574
A_23_P100263	12.9100787
A_23_P100278	7.441384451
A_23_P100292	13.94050049
A_23_P100315	12.4810491
A_23_P100326	13.12066219
A_23_P100341	14.01290223
A_23_P100344	10.77149753
A_23_P100355	13.30261315
A_23_P100386	7.252966221
A_23_P100392	10.90323842
A_23_P100408	7.59987447
A_23_P100413	9.074010116
A_23_P100420	12.24541718
A_23_P100441	11.68971745
A_23_P100455	9.517999154
A_23_P100469	10.12386582
A_23_P100478	10.84395866
A_23_P100486	15.30946658
A_23_P100499	8.634384674
A_23_P100501	13.96185713
A_23_P100517	10.87798668
A_23_P100522	13.39971609
A_23_P100539	9.537191438
A_23_P100556	11.37199583
A_23_P100576	14.03381648
A_23_P100583	7.350851343
A_23_P100595	7.38147086
A_23_P10060	7.007736797
A_23_P100602	10.75538008
A_23_P10062	6.738765888
A_23_P100632	15.72304734
A_23_P100642	8.425055729
A_23_P100654	11.88707524
A_23_P100660	12.00960621
A_23_P100676	9.924201875
A_23_P100693	10.6021543
A_23_P100704	11.09588004
A_23_P100711	12.5272008
A_23_P100730	9.697176028
A_23_P100754	8.987048484
A_23_P100764	12.94358153
A_23_P10077	9.400569531
A_23_P100779	9.580572633
A_23_P100788	9.610807636
A_23_P100795	9.783745132
A_23_P100802	14.14465802
A_23_P10081	7.997818979
A_23_P100868	11.91459306
A_23_P100872	7.349285931
A_23_P100883	12.70241987
A_23_P10091	7.452696052
A_23_P100912	9.020259204
A_23_P100931	6.672545756
A_23_P100935	6.842187989
A_23_P100959	7.385962355
A_23_P100963	8.61872346
A_23_P100990	7.80056941
A_23_P100991	6.653240656
A_23_P101007	9.209619312
A_23_P101013	12.49898269
A_23_P101025	11.16219167
A_23_P101038	6.811371358
A_23_P101048	7.079698604
A_23_P101054	7.660057903
A_23_P101073	7.671703771
A_23_P101084	7.372179932
A_23_P101093	10.96469947
A_23_P101111	11.55023797
A_23_P101121	9.72666538
A_23_P101131	7.14358781
A_23_P101141	8.622312572
A_23_P101185	13.58687916
A_23_P101193	8.943670669
A_23_P101208	13.4823122
A_23_P10121	10.99074856
A_23_P101237	12.23952901
A_23_P101240	14.85245079
A_23_P101246	10.10287307
A_23_P101253	9.371724682
A_23_P101258	8.798117224
A_23_P10127	12.1397171
A_23_P101272	11.46218184
A_23_P101281	10.01043521
A_23_P101297	9.75914728
A_23_P101303	12.00946067
A_23_P101308	9.65810353
A_23_P101319	7.932980767
A_23_P101321	8.688500842
A_23_P101332	11.97944617
A_23_P101342	9.394859241
A_23_P10135	10.82561989
A_23_P101351	10.55231951
A_23_P101374	9.539956617
A_23_P101380	12.44054633
A_23_P101392	8.715484578
A_23_P1014	11.3140393
A_23_P101407	14.13338416
A_23_P101427	8.574264208
A_23_P101434	7.321982081
A_23_P101461	14.43073724
A_23_P101476	8.241430029
A_23_P101480	9.045356918
A_23_P101505	9.064722296
A_23_P101516	9.114831245
A_23_P101521	6.906548064
A_23_P101532	17.58199677
A_23_P101551	12.62058803
A_23_P10156	10.19636147
A_23_P101564	7.19909929
A_23_P101573	6.960564689
A_23_P101615	9.632523171
A_23_P101623	7.845274181
A_23_P101636	6.888020095
A_23_P101642	9.73657306
A_23_P101655	11.6237098
A_23_P101671	8.229539678
A_23_P101683	7.093188628
A_23_P101699	10.72744702
A_23_P101707	13.13363785
A_23_P10172	6.855458168
A_23_P101737	9.776679925
A_23_P101742	12.06740559
A_23_P101759	8.564715982
A_23_P101761	11.903078
A_23_P101774	7.454416611
A_23_P101783	8.177983808
A_23_P101796	9.31758666
A_23_P101806	9.707873058
A_23_P101811	8.830748625
A_23_P10182	10.9858617
A_23_P101829	9.84134915
A_23_P101871	8.533798742
A_23_P101893	9.32771712
A_23_P101905	8.113230601
A_23_P101908	8.590684147
A_23_P10194	14.42472284
A_23_P101943	11.87218079
A_23_P101950	15.66088523
A_23_P101960	14.29033789
A_23_P101972	8.490138955
A_23_P101992	9.978155484
A_23_P102000	14.43484087
A_23_P102017	7.259846287
A_23_P102037	9.789332282
A_23_P102058	7.779313553
A_23_P10206	7.745415988
A_23_P102060	11.83212114
A_23_P102071	10.65109323
A_23_P102083	6.645884101
A_23_P102109	13.56003419
A_23_P10211	9.198343857
A_23_P102113	8.563393044
A_23_P102117	7.500859116
A_23_P102122	15.44931037
A_23_P102160	9.949954032
A_23_P102172	7.00062342
A_23_P102183	11.99100534
A_23_P102192	9.973695314
A_23_P102202	13.64721907
A_23_P102235	13.08162098
A_23_P102242	10.87499729
A_23_P102258	13.94718548
A_23_P102262	13.74149522
A_23_P102278	6.831695378
A_23_P102286	6.819694518
A_23_P10232	7.187875136
A_23_P102320	11.1646798
A_23_P102331	6.825948719
A_23_P102351	7.94107122
A_23_P102364	10.75230783
A_23_P102391	9.509422257
A_23_P102404	15.4603333
A_23_P102412	10.87160622
A_23_P102420	16.78795786
A_23_P102439	8.134653436
A_23_P102454	12.28749895
A_23_P102462	7.736717335
A_23_P102471	11.9018115
A_23_P102481	6.900901719
A_23_P102494	8.815401267
A_23_P102508	11.16467922
A_23_P102517	11.86961047
A_23_P102523	9.378256666
A_23_P102542	11.84118134
A_23_P102551	6.792631031
A_23_P102571	14.41499499
A_23_P102575	12.22634687
A_23_P102582	15.49145099
A_23_P102607	7.220665514
A_23_P102611	12.64923305
A_23_P102622	8.594258891
A_23_P102634	6.816262388
A_23_P102681	7.38429625
A_23_P102694	7.387357218
A_23_P102706	8.424475414
A_23_P102731	11.09325165
A_23_P102743	8.978950467
A_23_P102759	7.715692666
A_23_P102769	9.902124101
A_23_P102770	12.39062106
A_23_P102816	8.757809895
A_23_P102832	12.39446737
A_23_P102842	12.15509376
A_23_P102864	7.686986118
A_23_P102876	14.92182829
A_23_P102884	8.185411417
A_23_P102890	15.51378978
A_23_P1029	9.196643506
A_23_P10291	7.77285278
A_23_P102917	6.869123512
A_23_P102919	6.903642473
A_23_P102925	11.33127416
A_23_P102937	12.21232763
A_23_P102950	8.110609906
A_23_P102965	10.95301524
A_23_P102973	11.05781633
A_23_P102988	8.516910895
A_23_P102994	13.51357642
A_23_P103011	10.83342731
A_23_P103034	7.13265619
A_23_P103041	7.506930314
A_23_P10305	9.116094187
A_23_P103062	10.1324362
A_23_P103070	12.74023103
A_23_P103084	9.605344759
A_23_P103099	9.288356794
A_23_P103104	11.47248057
A_23_P103110	11.91605081
A_23_P103120	12.95696978
A_23_P103131	13.39584053
A_23_P103149	15.04477835
A_23_P103172	12.11505903
A_23_P103180	10.25141217
A_23_P103201	12.6813646
A_23_P103226	7.192705098
A_23_P103232	14.35699232
A_23_P103248	9.610203071
A_23_P103256	7.685051717
A_23_P103269	7.056131478
A_23_P103276	9.344644577
A_23_P103282	15.15696679
A_23_P103310	7.552869308
A_23_P103315	14.55864283
A_23_P103328	7.532481733
A_23_P103334	9.207819971
A_23_P103349	6.952739448
A_23_P103361	9.93357629
A_23_P103371	7.654988441
A_23_P103398	13.85687147
A_23_P103405	8.460949429
A_23_P103414	13.81112812
A_23_P103424	6.841146646
A_23_P103433	10.74647605
A_23_P103442	12.74856204
A_23_P103454	14.76748331
A_23_P103465	8.006894842
A_23_P103476	10.43946208
A_23_P103486	8.439436754
A_23_P103496	7.749433664
A_23_P103503	10.1455222
A_23_P103511	11.61009642
A_23_P103522	6.788262155
A_23_P103532	9.120938427
A_23_P10356	7.863217723
A_23_P103561	9.26683165
A_23_P103571	8.17128585
A_23_P103588	7.191357544
A_23_P103601	12.5072361
A_23_P103617	8.799803396
A_23_P103628	12.06314735
A_23_P103631	14.79879517
A_23_P103661	12.85967618
A_23_P103672	13.43408134
A_23_P103690	11.19397694
A_23_P103698	13.76421257
A_23_P103703	8.937673353
A_23_P103720	9.613397197
A_23_P10374	12.88006697
A_23_P103743	6.831917502
A_23_P103756	8.518405824
A_23_P103765	7.045316476
A_23_P103775	8.253830472
A_23_P103787	11.22155078
A_23_P103795	9.311119865
A_23_P1038	9.182761398
A_23_P103803	7.004763793
A_23_P103812	7.662854118
A_23_P103824	11.82025018
A_23_P103837	11.10960538
A_23_P10385	9.544361559
A_23_P103864	9.952752533
A_23_P103877	9.374888376
A_23_P103885	14.30173452
A_23_P103897	7.699807669
A_23_P103905	11.92397902
A_23_P10391	8.314679032
A_23_P103919	12.2578933
A_23_P103923	8.477732129
A_23_P103932	14.30712267
A_23_P103942	11.94313545
A_23_P103951	12.40066536
A_23_P103968	12.50777884
A_23_P103971	7.098235144
A_23_P103981	14.66828197
A_23_P103996	10.5837852
A_23_P10401	9.697886206
A_23_P104012	6.896544169
A_23_P104022	11.58948928
A_23_P104025	9.684165965
A_23_P104046	10.32942439
A_23_P104054	11.46952249
A_23_P104065	11.15268988
A_23_P104073	8.065327265
A_23_P104086	8.678469785
A_23_P104098	8.037917999
A_23_P104109	9.931489102
A_23_P104116	15.552503
A_23_P104138	8.046610198
A_23_P104146	10.76355929
A_23_P104151	10.32278925
A_23_P104188	9.243032858
A_23_P104193	13.60315719
A_23_P104199	12.4369246
A_23_P104201	14.10648656
A_23_P104224	7.974262365
A_23_P104237	7.085454981
A_23_P104252	7.873798929
A_23_P104275	6.995619692
A_23_P104282	9.484102475
A_23_P104295	9.723414601
A_23_P1043	8.884939857
A_23_P104318	14.98829394
A_23_P104323	10.94140259
A_23_P104335	6.624201257
A_23_P104346	10.9230632
A_23_P104351	13.12843405
A_23_P104362	14.38242304
A_23_P104372	13.49874991
A_23_P104387	14.01789316
A_23_P104413	15.81957124
A_23_P10442	12.04325011
A_23_P104438	8.129954597
A_23_P104445	10.34275707
A_23_P104451	13.21662933
A_23_P104464	10.07367775
A_23_P104471	13.23883047
A_23_P104484	7.137038175
A_23_P104493	10.56149014
A_23_P104509	8.297934109
A_23_P104522	7.468077186
A_23_P104555	7.380459228
A_23_P104563	9.436052972
A_23_P104579	10.30262364
A_23_P10458	7.153263864
A_23_P104583	11.11061237
A_23_P104594	7.620631753
A_23_P104607	12.57272884
A_23_P104617	9.195797194
A_23_P104624	11.25839671
A_23_P10463	15.78318138
A_23_P104641	12.65556606
A_23_P104651	12.2174229
A_23_P104676	13.3981853
A_23_P104689	10.96424091
A_23_P104692	11.49415679
A_23_P104705	8.602925739
A_23_P104734	13.48420594
A_23_P104741	8.150943051
A_23_P104762	9.006841218
A_23_P104798	10.11838236
A_23_P104804	8.687083831
A_23_P104819	7.404151993
A_23_P104845	7.283813889
A_23_P104853	6.863291892
A_23_P104865	6.864679837
A_23_P104876	11.27050295
A_23_P10488	7.214514653
A_23_P104881	7.482745415
A_23_P104892	15.66392066
A_23_P104942	13.03511477
A_23_P10497	11.64042645
A_23_P104972	7.20760929
A_23_P104996	9.073569786
A_23_P10500	7.318599327
A_23_P105002	10.01914187
A_23_P105012	7.268441295
A_23_P105028	11.56274559
A_23_P105044	12.74041271
A_23_P10506	10.86736607
A_23_P105066	12.15598717
A_23_P105088	7.117719598
A_23_P105118	7.237426264
A_23_P105138	12.47395994
A_23_P105144	9.246309782
A_23_P10518	7.641733032
A_23_P105184	13.58112444
A_23_P105197	8.271933445
A_23_P105212	6.948579064
A_23_P105227	8.329721953
A_23_P10525	6.904919785
A_23_P105251	8.398145732
A_23_P105264	10.59987071
A_23_P105276	10.72679124
A_23_P105307	8.921947417
A_23_P105313	13.14782157
A_23_P105368	7.545840577
A_23_P105382	8.695035585
A_23_P105392	15.30526912
A_23_P105409	8.880167485
A_23_P10542	7.700001973
A_23_P105423	7.227499002
A_23_P105436	8.224506862
A_23_P105442	11.80413046
A_23_P105453	6.821110453
A_23_P105461	8.501833542
A_23_P105465	7.723087772
A_23_P105475	7.106646043
A_23_P105495	7.213046969
A_23_P105519	11.29645758
A_23_P105524	7.002320183
A_23_P105535	10.63896713
A_23_P105545	7.350465843
A_23_P105562	10.223209
A_23_P105571	11.15779941
A_23_P105583	9.817737907
A_23_P10559	10.49691391
A_23_P105592	13.93000132
A_23_P1056	10.13490469
A_23_P10561	6.890652605
A_23_P105619	9.291849249
A_23_P105625	12.32211811
A_23_P10564	6.669683826
A_23_P105646	10.69731152
A_23_P105651	6.670514041
A_23_P105664	12.98230692
A_23_P105691	7.378394593
A_23_P105705	6.842746897
A_23_P105730	6.967213997
A_23_P105732	13.15723193
A_23_P105747	9.53521438
A_23_P105753	10.21981836
A_23_P105794	8.01010639
A_23_P105803	7.567359335
A_23_P105815	8.318929123
A_23_P105833	9.573172802
A_23_P105856	7.877180934
A_23_P105862	9.279591105
A_23_P105873	6.794673255
A_23_P105886	6.896698088
A_23_P105900	14.13984844
A_23_P10591	15.14877917
A_23_P105923	7.558417057
A_23_P105939	7.143165314
A_23_P105957	14.33940391
A_23_P105963	7.261027236
A_23_P105973	8.105964579
A_23_P106	9.082460267
A_23_P106002	15.36301351
A_23_P106016	8.165400786
A_23_P106024	8.247700882
A_23_P106042	7.270693856
A_23_P10605	11.45155728
A_23_P106056	14.45811756
A_23_P106069	6.955347446
A_23_P106080	7.166203608
A_23_P106103	7.35393968
A_23_P106117	8.689621993
A_23_P106127	11.17384263
A_23_P106131	14.08639707
A_23_P10614	9.652403603
A_23_P106145	14.61078148
A_23_P106158	9.257712669
A_23_P106162	10.16750356
A_23_P106174	8.868590095
A_23_P106194	12.9915601
A_23_P106204	10.83044514
A_23_P106226	14.20654143
A_23_P106236	7.012897166
A_23_P106241	12.6951304
A_23_P106258	8.413077462
A_23_P106280	11.61864193
A_23_P106299	15.61889642
A_23_P106322	9.782272831
A_23_P106362	12.5793949
A_23_P106371	8.181657175
A_23_P106389	8.428042665
A_23_P106391	8.50792677
A_23_P10640	7.825584338
A_23_P106405	10.1174999
A_23_P106412	9.676429575
A_23_P106425	8.902301894
A_23_P106433	12.02246227
A_23_P106439	10.55544644
A_23_P106463	13.29223004
A_23_P10647	9.01424565
A_23_P106472	16.17525189
A_23_P106481	13.53325906
A_23_P106497	9.686275187
A_23_P106505	9.659313224
A_23_P106522	11.96364189
A_23_P106532	11.4937079
A_23_P106544	13.52042862
A_23_P106559	8.984929313
A_23_P106562	12.28610552
A_23_P106575	12.79030606
A_23_P106602	7.709219655
A_23_P106617	9.173546103
A_23_P106629	10.4150016
A_23_P106633	12.97965476
A_23_P106656	7.133280671
A_23_P106661	8.313451432
A_23_P106663	7.301200355
A_23_P106675	11.54807788
A_23_P106682	12.3869656
A_23_P106694	12.97471219
A_23_P106708	17.9250766
A_23_P106720	9.386303407
A_23_P106727	11.4685666
A_23_P106737	9.837121596
A_23_P106741	15.10670296
A_23_P106761	11.47789337
A_23_P106773	12.6858174
A_23_P106798	9.554086256
A_23_P106806	7.418951762
A_23_P106814	7.611064531
A_23_P106822	11.64030306
A_23_P106835	12.33233868
A_23_P106844	16.40242785
A_23_P10685	12.40908767
A_23_P106859	13.78627606
A_23_P106874	9.770376323
A_23_P106887	13.15000457
A_23_P106898	10.47681991
A_23_P106906	8.309198621
A_23_P106922	8.976913184
A_23_P106933	7.130569528
A_23_P106945	10.30047332
