ProbeID	PrimaryAccession	RefSeqAccession	GenbankAccession	UniGeneID	EntrezGeneID	GeneSymbol	GeneName	EnsemblID	TIGRID	GO	Description	GenomicCoordinates	Cytoband
A_23_P100001	NM_207446	NM_207446	NM_207446	Hs.27373	400451	LOC400451	hypothetical gene supported by AK075564; BC060873	ENST00000327355	THC2462674		"Homo sapiens hypothetical gene supported by AK075564; BC060873 (LOC400451), mRNA [NM_207446]"	chr15:90961852-90961793	hs|15q26.1
A_23_P100011	NM_005829	NM_005829	NM_005829	Hs.632161	10239	AP3S2	"adaptor-related protein complex 3, sigma 2 subunit"	ENST00000336418	NP1208528	GO:0005794(Golgi apparatus)|GO:0006810(transport)|GO:0006886(intracellular protein transport)|GO:0030662(coated vesicle membrane)	"Homo sapiens adaptor-related protein complex 3, sigma 2 subunit (AP3S2), mRNA [NM_005829]"	chr15:88179747-88179688	hs|15q26.1
A_23_P100022	NM_014848	NM_014848	NM_014848	Hs.592018	9899	SV2B	synaptic vesicle glycoprotein 2B	ENST00000330276	THC2464594	GO:0005215(transporter activity)|GO:0005515(protein binding)|GO:0006836(neurotransmitter transport)|GO:0007268(synaptic transmission)|GO:0008021(synaptic vesicle)|GO:0015031(protein transport)|GO:0016020(membrane)|GO:0016079(synaptic vesicle exocytosis)|GO:0030285(integral to synaptic vesicle membrane)|GO:0045202(synapse)|GO:0051246(regulation of protein metabolic process)	"Homo sapiens synaptic vesicle glycoprotein 2B (SV2B), mRNA [NM_014848]"	chr15:89639333-89639392	hs|15q26.1
A_23_P100056	NM_194272	NM_194272	NM_194272	Hs.436518	348093	RBPMS2	RNA binding protein with multiple splicing 2	ENST00000300069	THC2472982	GO:0000166(nucleotide binding)|GO:0003676(nucleic acid binding)	"Homo sapiens RNA binding protein with multiple splicing 2 (RBPMS2), mRNA [NM_194272]"	chr15:62819428-62819369	hs|15q22.31
A_23_P100074	NM_020371	NM_020371	NM_020371	Hs.555966	57099	AVEN	"apoptosis, caspase activation inhibitor"	ENST00000306730	THC2471512	GO:0004872(receptor activity)|GO:0005216(ion channel activity)|GO:0005262(calcium channel activity)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005624(membrane fraction)|GO:0006915(apoptosis)|GO:0006916(anti-apoptosis)|GO:0016021(integral to membrane)	"Homo sapiens apoptosis, caspase activation inhibitor (AVEN), mRNA [NM_020371]"	chr15:31946031-31945972	hs|15q14
A_23_P100092	NM_152455	NM_152455	NM_152455	Hs.418287	146050	ZNF690	zinc finger protein 690	ENST00000267817	NP1457339	"GO:0003676(nucleic acid binding)|GO:0003700(transcription factor activity)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)"	"Homo sapiens zinc finger protein 690 (ZNF690), mRNA [NM_152455]"	chr15:41440680-41440621	hs|15q15.3
A_23_P100103	NM_015289	NM_015289	NM_015289	Hs.88025	23339	VPS39	vacuolar protein sorting 39 homolog (S. cerevisiae)	ENST00000318006	THC2782911	GO:0005083(small GTPase regulator activity)|GO:0005515(protein binding)|GO:0015031(protein transport)	"Homo sapiens vacuolar protein sorting 39 homolog (S. cerevisiae) (VPS39), mRNA [NM_015289]"	chr15:40240319-40240260	hs|15q15.1
A_23_P100111	NM_007236	NM_007236	NM_007236	Hs.406234	11261	CHP	calcium binding protein P22	ENST00000334660	NP1075687	GO:0005509(calcium ion binding)|GO:0006813(potassium ion transport)|GO:0007264(small GTPase mediated signal transduction)|GO:0015459(potassium channel regulator activity)	"Homo sapiens calcium binding protein P22 (CHP), mRNA [NM_007236]"	chr15:39358845-39358904	hs|15q15.1
A_23_P100127	NM_170589	NM_170589	NM_170589	Hs.181855	57082	CASC5	cancer susceptibility candidate 5	ENST00000346991	THC2474180	GO:0001669(acrosome)|GO:0001675(acrosome formation)|GO:0005515(protein binding)|GO:0005634(nucleus)	"Homo sapiens cancer susceptibility candidate 5 (CASC5), transcript variant 1, mRNA [NM_170589]"	chr15:38704817-38704876	hs|15q15.1
A_23_P100133	NM_015251	NM_015251	NM_015251	Hs.16349	23300	ASCIZ	ATM/ATR-Substrate Chk2-Interacting Zn2+-finger protein	ENST00000299575	THC2468116	GO:0003676(nucleic acid binding)|GO:0005622(intracellular)|GO:0008270(zinc ion binding)	"Homo sapiens ATM/ATR-Substrate Chk2-Interacting Zn2+-finger protein (ASCIZ), mRNA [NM_015251]"	chr16:79636596-79636655	hs|16q23.2
A_23_P100141	NM_023076	NM_023076	NM_023076	Hs.643536	65259	C16orf28	chromosome 16 open reading frame 28	ENST00000248104	THC2474748	GO:0005515(protein binding)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)	"Homo sapiens chromosome 16 open reading frame 28 (C16orf28), mRNA [NM_023076]"	chr16:1355346-1355287	hs|16p13.3
A_23_P100156	NM_017849	NM_017849	NM_017849	Hs.355708	55654	TMEM127	transmembrane protein 127	ENST00000258439	THC2466683	GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens transmembrane protein 127 (TMEM127), mRNA [NM_017849]"	chr2:96281876-96281817	hs|2q11.2
A_23_P100177	NM_002428	NM_002428	NM_002428	Hs.80343	4324	MMP15	matrix metallopeptidase 15 (membrane-inserted)	ENST00000219271	THC2739464	GO:0000270(peptidoglycan metabolic process)|GO:0004222(metalloendopeptidase activity)|GO:0005509(calcium ion binding)|GO:0005578(extracellular matrix (sensu the Metazoa research community))|GO:0005615(extracellular space)|GO:0005887(integral to plasma membrane)|GO:0006464(protein modification)|GO:0006508(proteolysis)|GO:0008047(enzyme activator activity)|GO:0008270(zinc ion binding)|GO:0016020(membrane)	"Homo sapiens matrix metallopeptidase 15 (membrane-inserted) (MMP15), mRNA [NM_002428]"	chr16:56637027-56637086	hs|16q13
A_23_P100189	NM_002761	NM_002761	NM_002761	Hs.2909	5619	PRM1	protamine 1	ENST00000312511	THC2462590	GO:0000786(nucleosome)|GO:0003677(DNA binding)|GO:0005634(nucleus)|GO:0005654(nucleoplasm)|GO:0005694(chromosome)|GO:0005737(cytoplasm)|GO:0006323(DNA packaging)|GO:0006997(nuclear organization and biogenesis)|GO:0007001(chromosome organization and biogenesis (sensu the Eukaryota research community))|GO:0007076(mitotic chromosome condensation)|GO:0007283(spermatogenesis)|GO:0007286(spermatid development)|GO:0030154(cell differentiation)	"Homo sapiens protamine 1 (PRM1), mRNA [NM_002761]"	chr16:11282363-11282304	hs|16p13.13
A_23_P100196	NM_005153	NM_005153	NM_005153	Hs.136778	9100	USP10	ubiquitin specific peptidase 10	ENST00000219473	THC2470177	GO:0004197(cysteine-type endopeptidase activity)|GO:0004221(ubiquitin thiolesterase activity)|GO:0006511(ubiquitin-dependent protein catabolic process)|GO:0006512(ubiquitin cycle)	"Homo sapiens ubiquitin specific peptidase 10 (USP10), mRNA [NM_005153]"	chr16:83370332-83370391	hs|16q24.1
A_23_P100203	NM_001537	NM_001537	NM_001537	Hs.250899	3281	HSBP1	heat shock factor binding protein 1		THC2465419	GO:0000122(negative regulation of transcription from RNA polymerase II promoter)|GO:0003714(transcription corepressor activity)|GO:0005634(nucleus)	"Homo sapiens heat shock factor binding protein 1 (HSBP1), mRNA [NM_001537]"	chr16:82403745-82403804	hs|16q23.3
A_23_P100220	NM_024939	NM_024939	NM_024939	Hs.592053	80004	RBM35B	RNA binding motif protein 35B	ENST00000251366	THC2464692	GO:0000166(nucleotide binding)|GO:0003723(RNA binding)	"Homo sapiens RNA binding motif protein 35B (RBM35B), mRNA [NM_024939]"	chr16:66820614-66820555	hs|16q22.1
A_23_P100240	NM_004062	NM_004062	NM_004062	Hs.513660	1014	CDH16	"cadherin 16, KSP-cadherin"	ENST00000299752	NP861922	GO:0004812(aminoacyl-tRNA ligase activity)|GO:0005509(calcium ion binding)|GO:0005515(protein binding)|GO:0005524(ATP binding)|GO:0006418(tRNA aminoacylation for protein translation)|GO:0007155(cell adhesion)|GO:0007156(homophilic cell adhesion)|GO:0016020(membrane)|GO:0016021(integral to membrane)	"Homo sapiens cadherin 16, KSP-cadherin (CDH16), mRNA [NM_004062]"	chr16:65499602-65499543	hs|16q22.1
A_23_P10025	NM_006159	NM_006159	NM_006159	Hs.505326	4753	NELL2	NEL-like 2 (chicken)	ENST00000333837	THC2512215	GO:0005198(structural molecule activity)|GO:0005509(calcium ion binding)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0007155(cell adhesion)	"Homo sapiens NEL-like 2 (chicken) (NELL2), mRNA [NM_006159]"	chr12:43188763-43188704	hs|12q12
A_23_P100263	NM_198390	NM_198390	NM_198390	Hs.594095	80790	CMIP	c-Maf-inducing protein		THC2467498		"Homo sapiens c-Maf-inducing protein (CMIP), transcript variant C-mip, mRNA [NM_198390]"	chr16:80301084-80301143	hs|16q23.2
